2,6,7,2,1.8697765
3,5,6,2,1.6948494
4,4,5,1,1.516035
5,3,5,2,1.234208
6,2,6,2,1.0651118
7,1,5,1,1.1039845
#
4,12,5,2,2.2740524
5,11,5,2,1.8513119
6,10,6,3,1.5510204
7,9,4,2,1.3002915
8,8,2,1,0.8542274
9,7,1,2,0.5626822
10,6,2,2,0.57434404
11,5,2,2,0.6005831
12,4,3,2,0.6530612
#
2,22,7,1,3.739553
3,21,6,2,3.3896987
4,20,6,2,3.03207
5,19,5,2,2.468416
6,18,4,2,2.0680273
7,17,4,2,1.7337221
8,16,3,1,1.1389699
9,15,2,2,0.7346939
11,13,2,2,0.7346939
12,12,2,1,0.7346939
13,11,1,2,0.7346939
14,10,2,2,0.7346939
15,9,2,2,0.7346939
16,8,2,2,0.7385811
17,7,3,2,0.75024295
18,6,2,2,0.765792
19,5,2,1,0.80077744
20,4,2,2,0.8707483

&True
