2,6,103,1,1.9320946
3,5,103,1,1.8731892
4,4,97,1,1.7891543
5,3,92,1,1.679636
6,2,89,1,1.5375553
7,1,83,1,1.3894072
2,14,107,2,2.8981419
3,13,104,1,2.8095562
4,12,95,1,2.6831248
5,11,92,2,2.5152066
6,10,87,1,2.2893438
7,9,81,1,2.0135002
8,8,73,2,1.7244596
9,7,71,1,1.5177853
10,6,78,1,1.4253318
11,5,97,1,1.3982556
12,4,137,1,1.3797498
13,3,208,1,1.3525976
14,2,309,1,1.3319682
15,1,489,1,1.5066364
2,22,104,1,3.8641891
3,21,102,1,3.7460752
4,20,98,2,3.5774996
5,19,93,2,3.3536088
6,18,87,2,3.0524585
7,17,80,1,2.6846669
8,16,73,1,2.2992795
9,15,70,2,2.0237138
11,13,99,1,1.8638352
12,12,138,1,1.8356212
13,11,205,2,1.7878903
14,10,311,1,1.7272153
15,9,408,2,1.6787764
16,8,417,2,1.676855
17,7,455,2,1.676855
18,6,414,2,1.676855
19,5,398,2,1.6779674
20,4,430,1,1.6827203
