2,6,1.749,28,1.8355117
3,5,1.637,25,1.7298657
4,4,1.455,17,1.573393
5,3,1.391,22,1.4449267
6,2,1.307,21,1.329119
7,1,1.253,17,1.2694842
#
2,14,1.769,27,2.7532675
3,13,1.664,27,2.5947528
4,12,1.503,22,2.3599942
5,11,1.367,22,2.1671958
6,10,1.318,22,1.9927107
7,9,1.273,24,1.847591
8,8,1.222,23,1.7052904
9,7,1.23,25,1.5679882
10,6,1.416,24,1.4689089
11,5,1.668,30,1.3436264
12,4,2.326,23,1.2759506
13,3,3.501,23,1.1798505
14,2,5.902,23,1.1038694
15,1,16.153,30,1.5003695
#
2,22,2.027,35,3.6710234
3,21,1.94,37,3.4596703
4,20,1.74,35,3.146659
5,19,1.597,37,2.8895943
6,18,1.515,29,2.6569476
7,17,1.476,34,2.4634547
8,16,1.405,29,2.2737155
9,15,1.461,38,2.0906358
11,13,1.945,32,1.7902217
12,12,2.611,29,1.6987021
13,11,3.876,28,1.5679526
14,10,6.606,27,1.4569883
15,9,11.27,29,1.3605821
16,8,20.186,30,1.2897112
17,7,36.613,28,1.2375385
18,6,63.796,30,1.2022502
19,5,103.37,33,1.1848322
20,4,113.985,30,1.1812562
&False
