2,6,1992,39,1.7735224
3,5,1640,21,1.4396055
4,4,1365,19,1.1939512
5,3,1285,23,1.0091716
6,2,1073,20,0.8905476
7,1,1320,20,1.0286064
#
2,14,2176,30,2.6602802
3,13,1765,26,2.159303
4,12,1386,38,1.7896768
5,11,1246,24,1.5098001
6,10,1059,37,1.2929525
7,9,924,22,1.0863434
8,8,870,23,0.94954026
9,7,860,38,0.83553374
10,6,989,21,0.7419154
11,5,1317,19,0.6637427
12,4,1941,19,0.59993887
13,3,3100,20,0.56988317
14,2,8014,21,0.770738
15,1,28167,28,1.5002819
#
2,22,2051,38,3.5470402
3,21,1683,33,2.8790705
4,20,1401,32,2.3862357
5,19,1192,29,2.0130668
6,18,1069,27,1.7239368
7,17,930,26,1.4484578
8,16,859,36,1.2660537
9,15,872,23,1.114045
11,13,1284,22,0.88417953
12,12,1848,39,0.79620457
13,11,2916,20,0.72153175
14,10,5004,21,0.6577698
15,9,8428,37,0.6030391
16,8,14736,20,0.55713123
17,7,25771,19,0.5184972
18,6,43992,20,0.48934734
19,5,67536,18,0.47276598
20,4,80561,19,0.47325966

