2,6,2,3,1.7959183
3,5,1,1,1.3571428
4,4,1,1,1.0408163
5,3,2,2,0.7653061
6,2,1,2,0.74489796
7,1,0,2,1.0714285
#
4,12,1,2,1.5612245
5,11,2,1,1.0867347
6,10,1,2,0.9030612
7,9,0,2,0.53571427
8,8,0,3,0.53571427
9,7,0,2,0.53571427
10,6,1,2,0.53571427
11,5,1,2,0.56632656
12,4,0,2,0.627551
#
2,22,1,2,3.5918367
3,21,1,1,2.7142856
4,20,1,2,2.0816326
5,19,1,2,1.4489796
6,18,0,2,1.2040817
7,17,0,1,0.71428573
8,16,0,2,0.71428573
9,15,1,1,0.71428573
11,13,1,3,0.71428573
12,12,1,2,0.71428573
13,11,1,2,0.71428573
14,10,0,2,0.71428573
15,9,0,2,0.71428573
16,8,1,1,0.71428573
17,7,1,2,0.71428573
18,6,1,3,0.71428573
19,5,1,1,0.75510204
20,4,1,1,0.8367347

&True
