2,6,16,2,1.8747663
3,5,7,0,1.7682244
4,4,6,0,1.5252336
5,3,6,0,1.2299066
6,2,6,0,1.0429907
7,1,6,0,1.1065421
#
2,14,6,1,2.8121495
3,13,6,0,2.6523364
4,12,6,0,2.2878504
5,11,6,0,1.8448598
6,10,7,1,1.511215
7,9,5,0,1.264486
8,8,5,1,0.8271028
9,7,3,0,0.5439252
10,6,3,0,0.5551402
11,5,4,0,0.5803738
12,4,4,0,0.6336449
13,3,4,0,0.7429907
14,2,5,0,0.9869159
15,1,5,0,1.5616822
#
2,22,8,0,3.7495327
3,21,8,1,3.5364487
4,20,9,0,3.0504673
5,19,8,0,2.459813
6,18,7,1,2.0149534
7,17,8,0,1.6859813
8,16,8,1,1.1028037
9,15,5,1,0.71028036
11,13,5,0,0.71028036
12,12,6,0,0.71028036
13,11,6,0,0.71028036
14,10,6,0,0.71028036
15,9,6,0,0.71028036
16,8,6,0,0.7140187
17,7,7,0,0.7252337
18,6,6,0,0.7401869
19,5,6,0,0.7738318
20,4,6,0,0.84485984
&True
